"term_en","ipa","term_uz","term_ru","definition_uz","definition_ru","etymology","category","yield","is_phrase","audio_url"
"abduct","/æbˈdʌkt/","uzoqlashtirmoq (abduksiya qilmoq)","отводить","Tana a'zosini (masalan, qo'lni) o'rta chiziqdan uzoqlashtirish harakati.","Движение конечности в сторону от срединной линии тела.","Latin ab (away) + ducere (to lead).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/b5/b5eab17526d4f42f0bda80c821900ed37d40f9a5.mp3"
"abducting her right arm","/æbˈdʌktɪŋ hər raɪt ɑːrm/","o'ng qo'lini yon tomonga ko'tarish (abduksiya)","отведение правой руки","Qo'lni tana o'rta chizig'idan uzoqlashtirish yoki yon tomonga ko'tarish harakati.","Движение руки в сторону от срединной линии тела.","Latin ab- (away) + ducere (to lead).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/1f/1faf522b83f4d8b523d8e588804fe15ab654164f.mp3"
"abduction","/æbˈdʌkʃən/","abduksiya (uzoqroqqa olib qochish)","отведение","Tana a'zosini o'rta chiziqdan uzoqlashtiruvchi harakat.","Движение конечности или ее части, направленное в сторону от срединной линии тела.","Latin ab (away) + ducere (to lead).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/ea/eac554d95df311f0a68bef0e35481c7463d621ae.mp3"
"abduction nystagmus","/æbˈdʌkʃən nɪˈstæɡməs/","abduksion nistagm","нистагм при отведении","Ko'z tashqariga qaraganda yuzaga keladigan ixtiyorsiz ritmik tebranish.","Непроизвольные ритмичные движения глазного яблока, возникающие при его отведении в сторону.","Latin abductio (leading away) + Greek nystagmos (nodding/drowsiness).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/da/dad01f9fb8ba3062785924b72078a62084820d40.mp3"
"aberrant splicing","/æˈbɛrənt ˈsplaɪsɪŋ/","aberrant splaysing","аберрантный сплайсинг","RNK yetilishi jarayonida ekzonlarning noto'g'ri ulanishi natijasida nuqsonli oqsillar hosil bo'lishi.","Нарушение процесса созревания РНК, приводящее к неправильному соединению экзонов и синтезу дефектных белков.","Latin aberrare (to wander away) + Middle English splisen (to join).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/61/619144628c7ff36bc67833efc878341b59774b67.mp3"
"abetalipoproteinemia","/ˌeɪˌbeɪtəˌlɪpoʊˌproʊtiːˈniːmiə/","abetalipoproteinemiya","абеталипопротеинемия","Apolipoprotein B sintezining buzilishi natijasida lipidlarning so'rilishi va tashilishi buziladigan irsiy kasallik.","Наследственное заболевание, характеризующееся нарушением синтеза аполипопротеина B, что ведет к нарушению всасывания и транспорта липидов.","Greek a- (without) + beta + lipos (fat) + protein + -emia (blood condition).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/f1/f1e7a6937c8d6ef11f1d058023bb4807cf253346.mp3"
"abnormal central processing","/æbˈnɔːrməl ˈsɛntrəl ˈproʊsɛsɪŋ/","markaziy ishlov berishning buzilishi","аномальная центральная обработка","Markaziy asab tizimining og'riq signallarini noto'g'ri talqin qilishi yoki kuchaytirishi.","Нарушение интерпретации или усиление болевых сигналов центральной нервной системой.","Latin ab- (away) + norma (rule); Greek kentron (center).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/b8/b81b0263ac1a4b7d2e94eb0f2f4dcd1a2c944b72.mp3"
"abnormal lipid panel","/æbˈnɔːrməl ˈlɪpɪd ˈpænəl/","lipid profilining buzilishi","отклонения в липидном профиле","Xolesterin va triglitseridlar miqdorini o'lchaydigan tahlil natijalarining me'yordan og'ishi.","Отклонение от нормы результатов анализа крови на холестерин и триглицериды.","Latin ab- (away) + norma (rule) + Greek lipos (fat).","lab","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/e2/e2ad3d4b7dcfa233568b6f644bfc0e1c16f23121.mp3"
"abnormal uterine bleeding","/æbˈnɔːrməl ˈjuːtərɪn ˈbliːdɪŋ/","bachadondan patologik qon ketishi","аномальное маточное кровотечение","Hayz siklining davomiyligi, miqdori yoki chastotasining me'yordan og'ishi.","Любое отклонение менструального цикла от нормы по длительности, объему или частоте.","Latin uterus (womb) + Old English bledan (to gush).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/60/60f609b7b7f5fb90f3609382c010d01cc0331fa8.mp3"
"ABO incompatibility","/ˌeɪ biː ˈoʊ ˌɪnkəmˌpætəˈbɪlɪti/","ABO mos kelmasligi","несовместимость по системе ABO","Donor va retsipient qon guruhlarining bir-biriga mos kelmasligi natijasida yuzaga keladigan o'tkir gemolitik holat.","Острое гемолитическое состояние, возникающее из-за несоответствия групп крови донора и реципиента.","Named for the A, B, and O blood group antigens + Latin in- (not) + compatibilis (compatible).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/60/605b1fb326842c7035f63515c6ed16573d9eb172.mp3"
"abortive therapy","/əˈbɔːrtɪv ˈθɛrəpi/","abortiv terapiya (xurujni to'xtatuvchi)","абортивная терапия (купирование приступа)","Kasallik xuruji boshlanganda uni darhol to'xtatishga qaratilgan davolash usuli.","Лечение, направленное на немедленное прерывание уже начавшегося приступа заболевания.","Latin abortivus (arresting development) + Greek therapeia (healing).","idiom","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/87/8700842fd6a0e40bef03b7a869f0779bfc4defbc.mp3"
"abrasions and lacerations","/əˈbreɪʒənz ænd ˌlæsəˈreɪʃənz/","shilinishlar va yirtilgan jarohatlar","ссадины и рваные раны","Terining yuzaki shilinishi va chuqurroq yirtilgan jarohatlari.","Поверхностные повреждения кожи и более глубокие рваные раны.","Latin abradere (to scrape off) + lacerare (to tear).","finding","low","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/da/daea1b10d82e060c632d3e4b3d14aefb733c8683.mp3"
"accelerated neurodegeneration","/ækˈsɛləreɪtɪd ˌnjʊəroʊdɪˌdʒɛnəˈreɪʃən/","tezlashgan neyrodegeneratsiya","ускоренная нейродегенерация","Miya hujayralarining (neyronlarning) odatdagidan tezroq nobud bo'lishi va funksiyasini yo'qotishi.","Прогрессирующая гибель и потеря функции нейронов головного мозга, происходящая быстрее возрастной нормы.","Latin accelerare (hasten) + Greek neuron (nerve) + Latin degenerare (to depart from its kind).","condition","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/73/73ee667d71e06adda1d603d6613bae6664c140ba.mp3"
"acceleration-deceleration","/əkˌsɛləˈreɪʃən diːˌsɛləˈreɪʃən/","tezlanish-sekinlanish","ускорение-торможение","Harakat tezligining keskin ortishi va kamayishi natijasida yuzaga keladigan mexanik kuchlar.","Механические силы, возникающие при резком увеличении и уменьшении скорости движения.","Latin accelerare (hasten) + de- (away) + celerare (hasten).","mechanism","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/96/969a5f13462de4622f23ccc50b880f680d18a97e.mp3"
"accentuated S2","/ækˈsɛntʃueɪtɪd ɛs tuː/","ikkinchi ton aksenti","акцент второго тона","Yurakning ikkinchi tonining (S2) odatdagidan balandroq eshitilishi, ko'pincha o'pka gipertenziyasini ko'rsatadi.","Усиление громкости второго тона сердца, часто указывающее на легочную гипертензию.","Latin accentus (song added to speech).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/31/319c67a02164046a1ed0132f1bc39e1e946e0839.mp3"
"acceptor stem","/ækˈsɛptər stɛm/","akseptor poya","акцепторный стебель","tRNKning 5' va 3' uchlari juftlashishidan hosil bo'lgan va aminokislota birikadigan qismi.","Участок молекулы тРНК, образованный спариванием 5'- и 3'-концов, к которому присоединяется аминокислота.","Latin acceptare (to receive) + Old English stemn.","anatomy","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/3e/3e8c5bb01ca24e2a817de9d45605fedccc5c37a4.mp3"
"access to firearms","/ˈæksɛs tuː ˈfaɪərɑːrmz/","o'qotar qurollardan foydalanish imkoniyati","доступ к огнестрельному оружию","Uyda yoki yaqin atrofda o'qotar qurolning mavjudligi, bu o'z joniga qasd qilishning o'lim bilan tugash xavfini oshiradi.","Наличие огнестрельного оружия в непосредственном доступе, что значительно повышает летальность попыток самоубийства.","Latin accidere (to happen/approach) + Old English fyr (fire) + earm (arm/weapon).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/03/03f2d89f8a8f08812b5041642149599f1f87b040.mp3"
"accessory bypass tract","/ækˈsɛsəri ˈbaɪpæs trækt/","qo'shimcha o'tkazuvchi yo'l","дополнительный путь проведения","Yurak bo'lmachalari va qorinchalarini bog'laydigan, atrioventrikulyar tugunni chetlab o'tuvchi g'ayritabiiy elektr yo'li.","Аномальный электрический путь, соединяющий предсердия и желудочки в обход атриовентрикулярного узла.","Latin accessorius (additional) + English bypass + Latin tractus (a drawing out/path).","mechanism","high","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/c1/c14dc1c8d3394d8afc0f8aae63bdcc2bd9bbd231.mp3"
"accessory muscles","/ækˈsɛsəri ˈmʌsəlz/","yordamchi nafas mushaklari","вспомогательная дыхательная мускулатура","Nafas qisishi paytida nafas olishga yordam beradigan bo'yin va ko'krak mushaklari.","Мышцы шеи и груди, которые задействуются при выраженной одышке для облегчения дыхания.","Latin accessorius (additional) + musculus (muscle).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/9c/9c89178151c1a6bceff202dc4e5a22315c80ba64.mp3"
"accessory muscles of inspiration","/ækˈsɛsəri ˈmʌsəlz əv ˌɪnspəˈreɪʃən/","yordamchi nafas olish mushaklari","вспомогательные инспираторные мышцы","Chuqur nafas olishda ishtirok etuvchi qo'shimcha mushaklar (masalan, to'sh-o'mrov-so'rg'ichsimon mushak).","Мышцы, участвующие в акте вдоха при форсированном дыхании (например, грудино-ключично-сосцевидная мышца).","Latin accessorius (additional) + inspiratio (breathing in).","anatomy","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/20/20abd8790b4a7f7b058c100901fd745305a8c6e0.mp3"
"accessory muscles of respiration","/ækˈsɛsəri ˈmʌsəlz əv ˌrɛspəˈreɪʃən/","yordamchi nafas mushaklari","вспомогательная дыхательная мускулатура","Nafas qisishi paytida nafas olishga yordam beradigan mushaklar (masalan, to'sh-o'mrov-so'rg'ichsimon mushak).","Мышцы, которые задействуются при одышке для облегчения дыхания (например, грудино-ключично-сосцевидная мышца).","Latin accessorius (additional) + musculus (muscle) + respiratio (breathing).","finding","medium","false","https://sigtdgbwebolnrtafzre.supabase.co/storage/v1/object/public/clinical-english-audio/nova/tts-1-hd/7f/7fae9d71790a089d5cfd4b7d65256ddddaee3a3b.mp3"
